GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
VD01,Total:
VD02,Male:
VD03,Male: - No schooling completed
VD04,Male: - Nursery to 4th grade
VD05,Male: - 5th and 6th grade
VD06,Male: - 7th and 8th grade
VD07,Male: - 9th grade
VD08,Male: - 10th grade
VD09,Male: - 11th grade
VD10,"Male: - 12th grade, no diploma"
VD11,Male: - High school graduate (includes equivalency)
VD12,"Male: - Some college, less than 1 year"
VD13,"Male: - Some college, 1 or more years, no degree"
VD14,Male: - Associate degree
VD15,Male: - Bachelor's degree
VD16,Male: - Master's degree
VD17,Male: - Professional school degree
VD18,Male: - Doctorate degree
VD19,Female:
VD20,Female: - No schooling completed
VD21,Female: - Nursery to 4th grade
VD22,Female: - 5th and 6th grade
VD23,Female: - 7th and 8th grade
VD24,Female: - 9th grade
VD25,Female: - 10th grade
VD26,Female: - 11th grade
VD27,"Female: - 12th grade, no diploma"
VD28,Female: - High school graduate (includes equivalency)
VD29,"Female: - Some college, less than 1 year"
VD30,"Female: - Some college, 1 or more years, no degree"
VD31,Female: - Associate degree
VD32,Female: - Bachelor's degree
VD33,Female: - Master's degree
VD34,Female: - Professional school degree
VD35,Female: - Doctorate degree
