Label,34005,34007,34015,34021,42017,42029,42045,42091,42101
2010 Base,0,0,0,0,0,0,0,0,0
Births,4669,6572,3152,4385,5999,5552,6904,9162,23257
Deaths,-3704,-4507,-2399,-2951,-5474,-3630,-5500,-7205,-14374
2010-2011 Natural Increase,965,2065,753,1434,525,1922,1404,1957,8883
Births,4571,6466,3132,4180,5652,5563,6736,8916,23326
Deaths,-3690,-4381,-2365,-2811,-5368,-3621,-5308,-7042,-14305
2010-2012 Natural Increase,1846,4150,1520,2803,809,3864,2832,3831,17904
Births,4397,6321,2970,4220,5604,5384,6499,8866,22891
Deaths,-3933,-4691,-2586,-2814,-5624,-3755,-5592,-7457,-14382
2010-2013 Natural Increase,2310,5780,1904,4209,789,5493,3739,5240,26413
Births,4526,6321,3024,4161,5943,5494,6725,9037,22547
Deaths,-3822,-4576,-2551,-2838,-5607,-3739,-5252,-7205,-14120
2010-2014 Natural Increase,3014,7525,2377,5532,1125,7248,5212,7072,34840
Births,4502,6312,3027,4189,6004,5671,6811,8712,22362
Deaths,-4101,-4684,-2505,-3017,-5930,-3899,-5450,-7561,-14123
2010-2015 Natural Increase,3415,9153,2899,6704,1199,9020,6573,8223,43079
Births,4342,6153,2927,4078,5999,5365,6430,8918,21790
Deaths,-4059,-4671,-2592,-2859,-5944,-4000,-5410,-7587,-14752
2010-2016 Natural Increase,3698,10635,3234,7923,1254,10385,7593,9554,50117
Births,4384,6153,2898,4039,5960,5438,6473,8814,21776
Deaths,-4032,-4676,-2639,-2941,-5981,-4072,-5480,-7803,-15026
2010-2017 Natural Increase,4050,12112,3493,9021,1233,11751,8586,10565,56867
